hexid,url,name,author,platform,arch,language,difficulty,has_unique_flag,flag,no_flag_reason,verifier_recovered,verifier_safety,verifier_interface,verifier_self_test_pass,obfuscation_classes,antidebug_methods,packers,controlflow_methods,antidisasm_methods,crypto_methods,encryption_methods,label_confidence
5ab77f6333c5d40ad448ca52,https://crackmes.one/crackme/5ab77f6333c5d40ad448ca52,pcme0 by pancake,crackmes.de,Unix/linux etc.,x86,C/C++,3.6666666666666665,True,,n_a,,,,,Anti-debugging; Anti-disassembly; Self-modifying / runtime decrypt; String / data encryption,ptrace (Linux),,,Jump-based desync,,XOR,high
5e248ce433c5d419aa013604,https://crackmes.one/crackme/5e248ce433c5d419aa013604,You will fail,Verideth,Windows,x86,C/C++,2.0,False,,patch_or_enable_me,,,,,,,,,,,,medium
65ad74aceef082e477ff5f24,https://crackmes.one/crackme/65ad74aceef082e477ff5f24,Really Very Easy,AlmazVip,Windows,x86-64,C/C++,1.2222222222222223,True,BiGbAlLs69691332228,n_a,,,,,,,,,,,,high
5ab77f6133c5d40ad448c947,https://crackmes.one/crackme/5ab77f6133c5d40ad448c947,keyme1 by b0ne,crackmes.de,DOS,x86,C/C++,2.0,False,,keygen_algorithmic,,,,,,,,,,,,high
5ab77f5d33c5d40ad448c6d5,https://crackmes.one/crackme/5ab77f5d33c5d40ad448c6d5,crackme080404_by_shellwolf by shellwolf,crackmes.de,Windows,x86,C/C++,2.0,False,,patch_or_enable_me,,,,,Packer,,,,,,,high
5ab77f5733c5d40ad448c313,https://crackmes.one/crackme/5ab77f5733c5d40ad448c313,crackme21 by attilhaz,crackmes.de,Unspecified/other,x86,Unspecified/other,1.0,False,,keygen_algorithmic,,,,,,,,,,,,high
5ab77f6233c5d40ad448c968,https://crackmes.one/crackme/5ab77f6233c5d40ad448c968,mars2 by mars,crackmes.de,Windows,x86,Assembler,2.0,True,548834,n_a,full,safe,name+serial,True,Anti-debugging,Debugger/tool window detection; Exception-based (SEH/VEH/INT2D),,,,,,high
5ab77f5833c5d40ad448c3fb,https://crackmes.one/crackme/5ab77f5833c5d40ad448c3fb,contest_3 by lightning,crackmes.de,Unspecified/other,x86,Unspecified/other,6.0,False,,keygen_algorithmic,partial,safe,name+serial,True,,,,,,,,high
5ab77f6233c5d40ad448c9b2,https://crackmes.one/crackme/5ab77f6233c5d40ad448c9b2,hd_vm_2.1 by hadi.delphi,crackmes.de,Windows,x86,Borland Delphi,5.0,False,,patch_or_enable_me,,,,,Anti-debugging; Anti-disassembly; Code virtualization / VM; Crypto / hash algorithm; Encoding (base64/hex); Self-modifying / runtime decrypt; String / data encryption,INT3 / 0xCC breakpoint scan,,,Junk / garbage bytes,Base64; Blowfish,Base64,high
5ab77f5e33c5d40ad448c716,https://crackmes.one/crackme/5ab77f5e33c5d40ad448c716,telbas_crackme_n.1 by telba,crackmes.de,Unspecified/other,x86,Unspecified/other,2.0,True,ggrhdtcdgg,n_a,,,,,Packer,,exepack,,,,,high
5ab77f6133c5d40ad448c8dd,https://crackmes.one/crackme/5ab77f6133c5d40ad448c8dd,decryptme_1 by hmx0101,crackmes.de,Windows 2000/XP only,x86,Unspecified/other,1.0,True,126,n_a,,,,,Custom / generic obfuscation,,,,,,,high
5ab77f5933c5d40ad448c472,https://crackmes.one/crackme/5ab77f5933c5d40ad448c472,cybies_dos_crackme_1 by cybie,crackmes.de,DOS,x86,Unspecified/other,2.0,False,,keygen_algorithmic,none,safe,name+serial,False,Self-modifying / runtime decrypt,,,,,,,high
693027c02d267f28f69b82b5,https://crackmes.one/crackme/693027c02d267f28f69b82b5,Ageis crackme :3,Nizzix,Windows,x86-64,Unspecified/other,5.0,True,OsBuiltinsPass,n_a,,,,,,,,,,,,high
5ab77f5633c5d40ad448c2d0,https://crackmes.one/crackme/5ab77f5633c5d40ad448c2d0,crackme_2.75 by bullet,crackmes.de,Unspecified/other,x86,Unspecified/other,1.0,True,2rK4HJ4-7n8RgT09IW6a7kSlg33,n_a,,,,,,,,,,,,high
61bbee6833c5d413767c9f20,https://crackmes.one/crackme/61bbee6833c5d413767c9f20,Confusion,bl4ack,Windows,x86-64,C/C++,3.0,False,,keygen_algorithmic,full,safe,name+serial,False,Anti-debugging; String / data encryption,CheckRemoteDebuggerPresent; IsDebuggerPresent; NtQueryInformationProcess,,,,,XOR,high
5ab77f6233c5d40ad448c9f6,https://crackmes.one/crackme/5ab77f6233c5d40ad448c9f6,keygenme_tvaa by numernia,crackmes.de,Windows,x86,C/C++,3.0,False,,keygen_algorithmic,failed,,,,Crypto / hash algorithm; String / data encryption,,,,,RSA,,high
5ab77f6533c5d40ad448cb85,https://crackmes.one/crackme/5ab77f6533c5d40ad448cb85,just_one_crackme by deepblue,crackmes.de,Windows,x86,Borland Delphi,3.0,False,,keygen_algorithmic,partial,safe,name+serial,True,Packer,,UPX,,,,,high
5ab77f5e33c5d40ad448c78b,https://crackmes.one/crackme/5ab77f5e33c5d40ad448c78b,crackme1 by seveb,crackmes.de,Unix/linux etc.,x86-64,C/C++,1.5,True,69118105108122111110101,n_a,,,,,,,,,,,,high
5ab77f5c33c5d40ad448c613,https://crackmes.one/crackme/5ab77f5c33c5d40ad448c613,crackme02 by v0d,crackmes.de,Unspecified/other,x86,Unspecified/other,6.0,False,,keygen_algorithmic,full,safe,name+serial,True,,,,,,,,high
5e9e18d033c5d47611746396,https://crackmes.one/crackme/5e9e18d033c5d47611746396,Garou.exe | KeygenMe,boofbenadryl,Windows,x86,C/C++,2.0,False,,keygen_algorithmic,full,safe,name+serial,True,,,,,,,,high
654f880f0f4238b24302b81c,https://crackmes.one/crackme/654f880f0f4238b24302b81c,lua crackme,aname,Windows,x86-64,Unspecified/other,3.3333333333333335,False,,any_input_matches_pattern,,,,,,,,,,,,high
5ab77f5433c5d40ad448c164,https://crackmes.one/crackme/5ab77f5433c5d40ad448c164,crackme_2 by cytomc,crackmes.de,Unspecified/other,x86,Unspecified/other,3.0,False,,keygen_algorithmic,full,salvaged,name+serial,True,Packer,,UPX,,,,,high
6300f8eb33c5d4425e2ccf63,https://crackmes.one/crackme/6300f8eb33c5d4425e2ccf63,BadRust,badryuner,Windows,x86-64,Unspecified/other,3.5,True,MyLittlePony,n_a,,,,,,,,,,,,high
5ab77f6233c5d40ad448c9b9,https://crackmes.one/crackme/5ab77f6233c5d40ad448c9b9,orion_crackme_1 by diablo,crackmes.de,Windows,x86,C/C++,1.0,True,***vErYeAsY***,n_a,,,,,,,,,,,,high
649e312233c5d460c17f1ee2,https://crackmes.one/crackme/649e312233c5d460c17f1ee2,Simple crackme made in cpp,NoSkill,Windows,x86-64,C/C++,2.0,False,,keygen_algorithmic,,,,,String / data encryption,,,,,,XOR,high
5ab77f5933c5d40ad448c4bb,https://crackmes.one/crackme/5ab77f5933c5d40ad448c4bb,3ngma039s_nine_level_crackme by 3ngma,crackmes.de,Unspecified/other,x86,(Visual) Basic,3.0,False,,multiple_valid_answers,,,,,,,,,,,,high
5ab77f6233c5d40ad448c9bf,https://crackmes.one/crackme/5ab77f6233c5d40ad448c9bf,crackme1 by timeleg,crackmes.de,Windows,x86,.NET,1.0,True,1111,n_a,,,,,,,,,,,,high
626957b733c5d42a191a5e53,https://crackmes.one/crackme/626957b733c5d42a191a5e53,funcoleto,dadada,Mac OS X,ARM,Unspecified/other,2.0,False,,keygen_algorithmic,,,,,,,,,,,,medium
5ab77f6433c5d40ad448cb16,https://crackmes.one/crackme/5ab77f6433c5d40ad448cb16,bit_walker_challenge by tomkol,crackmes.de,Windows,x86,Assembler,3.0,False,,keygen_algorithmic,failed,,,,Anti-debugging; Code virtualization / VM,PEB BeingDebugged / NtGlobalFlag,,,,,,high
67afd55ae36dd9b0e79b2ec6,https://crackmes.one/crackme/67afd55ae36dd9b0e79b2ec6,Very simple crackme ,Fragus,Unix/linux etc.,x86,C/C++,1.4615384615384615,True,2876,n_a,,,,,,,,,,,,high
6a170b8f17539b5175d123a4,https://crackmes.one/crackme/6a170b8f17539b5175d123a4,CrackMe Hard 2,liboxin,Windows,x86-64,C/C++,4.0,False,,keygen_algorithmic,,,,,Code virtualization / VM,,,,,,,high
5ab77f5b33c5d40ad448c564,https://crackmes.one/crackme/5ab77f5b33c5d40ad448c564,keygenme1 by smoke_,crackmes.de,Unspecified/other,x86,Unspecified/other,6.0,False,,keygen_algorithmic,partial,safe,name+serial,True,Packer,,UPX,,,,,high
5ab77f6133c5d40ad448c948,https://crackmes.one/crackme/5ab77f6133c5d40ad448c948,crackme1_bysasamaker by sasamaker,crackmes.de,Windows,x86,(Visual) Basic,1.0,False,,patch_or_enable_me,,,,,Anti-debugging; Code virtualization / VM; Custom / generic obfuscation,Debugger/tool window detection; IsDebuggerPresent,,,,,,high
5fe2422933c5d4264e590095,https://crackmes.one/crackme/5fe2422933c5d4264e590095,NES crackme #1,electric,Unspecified/other,other,Assembler,2.0,True,ed55d0092b90e824c9c1df7db6816ce5,n_a,,,,,,,,,,,,medium
5ab77f5e33c5d40ad448c767,https://crackmes.one/crackme/5ab77f5e33c5d40ad448c767,keyme by badsector,crackmes.de,Unspecified/other,x86,Unspecified/other,3.0,False,,keygen_algorithmic,partial,safe,name+serial,False,,,,,,,,high
5ab77f5333c5d40ad448c104,https://crackmes.one/crackme/5ab77f5333c5d40ad448c104,sleepy_keygenme by br0ken,crackmes.de,Windows,x86,C/C++,3.0,False,,keygen_algorithmic,partial,safe,name+serial,False,Anti-debugging,Timing (rdtsc/GetTickCount),,,,,,high
5ab77f6133c5d40ad448c8e4,https://crackmes.one/crackme/5ab77f6133c5d40ad448c8e4,hmx0101s_crackme_6 by hmx0101,crackmes.de,Windows 2000/XP only,x86,Borland Delphi,1.0,False,,patch_or_enable_me,,,,,,,,,,,,medium
5ab77f5433c5d40ad448c192,https://crackmes.one/crackme/5ab77f5433c5d40ad448c192,crackme1_vm by lxmxnx,crackmes.de,Windows,x86,Unspecified/other,3.0,True,Kx1xS1On0MN9x3GMYk7ZDhKyGMUeVd9wNeTGMQ6z,n_a,,,,,Code virtualization / VM; Control-flow obfuscation; String / data encryption,,,Indirect / computed jumps & calls,,,,high
5ab77f5833c5d40ad448c3fd,https://crackmes.one/crackme/5ab77f5833c5d40ad448c3fd,crackme_2 by lightning,crackmes.de,Unspecified/other,x86,Unspecified/other,2.0,False,,keygen_algorithmic,full,safe,name+serial,True,,,,,,,,high
5ab77f5433c5d40ad448c193,https://crackmes.one/crackme/5ab77f5433c5d40ad448c193,libertyordeaths_keygenme_3 by libertyordeath,crackmes.de,Unix/linux etc.,x86,C/C++,2.0,False,,keygen_algorithmic,full,safe,name+serial,True,Anti-debugging; Anti-disassembly; Control-flow obfuscation; Custom / generic obfuscation; String / data encryption,ptrace (Linux),,,Junk / garbage bytes,,,high
5ab77f5733c5d40ad448c366,https://crackmes.one/crackme/5ab77f5733c5d40ad448c366,eazy_peazy_crackme by fego,crackmes.de,Windows,x86,Assembler,2.0,False,,multiple_valid_answers,,,,,,,,,,,,high
5d8d5b3133c5d46f00e2c53e,https://crackmes.one/crackme/5d8d5b3133c5d46f00e2c53e,Yet another crackme/keygenme 2,BinaryNewbie,Unix/linux etc.,x86-64,C/C++,3.5,False,,keygen_algorithmic,full,safe,name+serial,False,Anti-debugging; Anti-disassembly,,,,Malformed PE / bad bytes (UD2),,,high
5ab77f6133c5d40ad448c8eb,https://crackmes.one/crackme/5ab77f6133c5d40ad448c8eb,keygenme_9 by hmx0101,crackmes.de,Windows 2000/XP only,x86,Borland Delphi,4.0,False,,keygen_algorithmic,failed,,,,,,,,,,,high
5ab77f5333c5d40ad448c120,https://crackmes.one/crackme/5ab77f5333c5d40ad448c120,cesd_dvl_assessment_3 by zero,crackmes.de,Unix/Linux etc.,x86,C/C++,1.0,False,,patch_or_enable_me,,,,,,,,,,,,high
5ab77f5d33c5d40ad448c6f1,https://crackmes.one/crackme/5ab77f5d33c5d40ad448c6f1,crackme_6 by noodlespa,crackmes.de,Unspecified/other,x86,Unspecified/other,6.0,True,E03FE6D063EDA59B42F43D02E2568F106B1D3D60E1BD7421939E5491CA6E066BB7D5D0081DD144172D40C68E016868BF315CF21BBB46E20300E7C09789C667113F52FC15B548EC0C274BD8262D60F90A9F70778719F8F60131ED4114AEE86EB80BECCB9282CD6C1F2548CE86096060B73954FA13B34EEA0A214DDE2C2B66FF09375AF41DBD40E40506E1C69D8FC0611A896BF5AE307E4615325EE42C9E4762BA07FA69023ADE5DBD8E6CF2AB37794116937C7B8B15F4FA0E305DF314BA47E3059F45689BBCE71B5856B53978252F11409F4670C34D053BD3A56EC24964F6AB5827941A496E379B8234FDC222964FD0399436E96BDC877BF9A75728C1CFDF3088B69F7AC327C44188F744CAB9BEE74B297787F8F11F0FE062D41D228276AF30D335EF019B944E009A4F44B283D425D1375BE12F9B4267B52F42C4836A6AB13F52FC15B548EC0,n_a,,,,,Anti-debugging; Self-modifying / runtime decrypt,,,,,,,high
6a1547f42b3df128c1df5ca5,https://crackmes.one/crackme/6a1547f42b3df128c1df5ca5,CrackmesForBeginners (CFB) #1,CrackNotMe,Windows,x86-64,C/C++,2.2,False,,keygen_algorithmic,full,safe,name+serial,True,,,,,,,,high
5d6da7bc33c5d46f00e2c3a3,https://crackmes.one/crackme/5d6da7bc33c5d46f00e2c3a3,Simple obfuscation,BinaryNewbie,Unix/linux etc.,x86-64,C/C++,2.0,True,FL4G{Ass1st4nt_Pr0f3ss0r},n_a,,,,,Anti-debugging; Custom / generic obfuscation,ptrace (Linux),,,,,,high
66e72f2d107032329655526c,https://crackmes.one/crackme/66e72f2d107032329655526c,zuha crackme,zuha,Windows,x86-64,Unspecified/other,2.25,False,,other,,,,,,,,,,,,low
5ab77f6433c5d40ad448caf3,https://crackmes.one/crackme/5ab77f6433c5d40ad448caf3,smart3.com___127bytes by ajax,crackmes.de,Unspecified/other,x86,Unspecified/other,3.0,True,hihi,n_a,,,,,Anti-disassembly; String / data encryption,,,,Junk / garbage bytes,,XOR,high
5ab77f6333c5d40ad448ca01,https://crackmes.one/crackme/5ab77f6333c5d40ad448ca01,lincrackme1 by adrianbn,crackmes.de,Unix/linux etc.,x86,C/C++,1.5,True,IEEAAEEI,n_a,partial,safe,name+serial,True,Anti-debugging,,,,,,,high
5ab77f5333c5d40ad448c12d,https://crackmes.one/crackme/5ab77f5333c5d40ad448c12d,4f.crackme_2 by ximus,crackmes.de,Windows,x86,C/C++,2.0,False,,keygen_algorithmic,,,,,,,,,,,,high
5ab77f5833c5d40ad448c3dc,https://crackmes.one/crackme/5ab77f5833c5d40ad448c3dc,serialiseme_seasy by pxor,crackmes.de,Windows,x86,Assembler,1.0,False,,keygen_algorithmic,none,safe,name+serial,False,,,,,,,,high
5ab77f5933c5d40ad448c442,https://crackmes.one/crackme/5ab77f5933c5d40ad448c442,moofys_keyme_2 by moofy,crackmes.de,Windows,x86,C/C++,1.0,False,,keygen_algorithmic,full,safe,name+serial,False,,,,,,,,high
6701d1419b533b4c22bd0d8f,https://crackmes.one/crackme/6701d1419b533b4c22bd0d8f,JUMPOUT_0XFF,kkjajalall,Windows,x86-64,C/C++,3.0,True,discord_memcpy_1337_crack_me_post,n_a,,,,,,,,,,,,high
5ab77f6633c5d40ad448cc16,https://crackmes.one/crackme/5ab77f6633c5d40ad448cc16,crackme_2 by zephyrous,crackmes.de,Unspecified/other,x86,Unspecified/other,2.0,False,,keygen_algorithmic,,,,,,,,,,,,high
5ab77f6233c5d40ad448c9f9,https://crackmes.one/crackme/5ab77f6233c5d40ad448c9f9,keygenme_if_you_can by mre521,crackmes.de,Windows,x86,C/C++,4.0,False,,keygen_algorithmic,full,safe,name+serial,True,,,,,,,,high
5ab77f5d33c5d40ad448c712,https://crackmes.one/crackme/5ab77f5d33c5d40ad448c712,zcrackme1 by zaabz,crackmes.de,Windows,x86,C/C++,2.0,False,,keygen_algorithmic,none,safe,name+serial,False,,,,,,,,high
5ab77f5533c5d40ad448c23f,https://crackmes.one/crackme/5ab77f5533c5d40ad448c23f,son_packed_crackme_1 by son,crackmes.de,Windows,x86,(Visual) Basic,3.0,False,,keygen_algorithmic,full,safe,name+serial,True,Anti-debugging; Code virtualization / VM; Packer,Debugger/tool window detection,UPX,,,,,high
5ab77f5833c5d40ad448c3de,https://crackmes.one/crackme/5ab77f5833c5d40ad448c3de,m477hi45s_first_crackme_asm by m477hi45,crackmes.de,Windows,x86,Assembler,1.0,True,2a69,n_a,,,,,Anti-disassembly,,,,Junk / garbage bytes,,,high
5ab77f5833c5d40ad448c3df,https://crackmes.one/crackme/5ab77f5833c5d40ad448c3df,m477hi45s_first_serialme by m477hi45,crackmes.de,Windows,x86,Unspecified/other,3.0,False,,keygen_algorithmic,full,safe,name+serial,True,Packer,,MPRESS,,,,,high
5ab77f5a33c5d40ad448c503,https://crackmes.one/crackme/5ab77f5a33c5d40ad448c503,crackme2 by gunner54,crackmes.de,Windows,x86,(Visual) Basic,4.0,False,,keygen_algorithmic,partial,safe,name+serial,True,,,,,,,,high
5ab77f5633c5d40ad448c2a4,https://crackmes.one/crackme/5ab77f5633c5d40ad448c2a4,guys_first_crackme by guy_,crackmes.de,Windows,x86,.NET,2.0,False,,keygen_algorithmic,partial,safe,name+serial,True,,,,,,,,high
5ab77f6533c5d40ad448cb5c,https://crackmes.one/crackme/5ab77f6533c5d40ad448cb5c,gama by mndg,crackmes.de,Windows,x86,C/C++,2.0,False,,keygen_algorithmic,full,safe,name+serial,False,Anti-debugging; Self-modifying / runtime decrypt; String / data encryption,Debugger/tool window detection; IsDebuggerPresent,,,,,XOR,high
5ab77f5333c5d40ad448c115,https://crackmes.one/crackme/5ab77f5333c5d40ad448c115,crackme by honestgamer,crackmes.de,Windows,x86,.NET,1.0,False,,keygen_algorithmic,full,safe,name+serial,False,,,,,,,,high
6989bfd9fb46458f1ef6ced9,https://crackmes.one/crackme/6989bfd9fb46458f1ef6ced9,party invitation,mintcocs,Mac OS X,ARM,Unspecified/other,2.0,False,,any_input_matches_pattern,,,,,,,,,,,,high
68fce1922d267f28f69b783a,https://crackmes.one/crackme/68fce1922d267f28f69b783a,Assembler Crackme,FentCat,Windows,x86,Assembler,2.0,True,@CBEDGFI,n_a,,,,,,,,,,,,high
5ab77f5a33c5d40ad448c527,https://crackmes.one/crackme/5ab77f5a33c5d40ad448c527,math_keygenme by fatih54102,crackmes.de,Windows,x86,(Visual) Basic,1.0,False,,keygen_algorithmic,full,safe,name+serial,False,,,,,,,,high
6a02a5a217539b5175d12249,https://crackmes.one/crackme/6a02a5a217539b5175d12249,NightMare 2.0,AdminX,Windows,x86-64,Rust,3.0,False,,not_a_secret_challenge,,,,,Crypto / hash algorithm; String / data encryption,,,,,AES,AES,high
5ab77f5e33c5d40ad448c733,https://crackmes.one/crackme/5ab77f5e33c5d40ad448c733,abex5 by abex,crackmes.de,Unspecified/other,x86,Unspecified/other,1.0,False,,keygen_algorithmic,full,safe,name+serial,False,,,,,,,,high
6942f04b0992a052ab2223e6,https://crackmes.one/crackme/6942f04b0992a052ab2223e6,[INSANELY HARD] Uncrackable.exe,SomeoneLol,Windows,x86-64,C/C++,2.6666666666666665,True,I_CRACKED_IT_2025_LOL!,n_a,,,,,,,,,,,,high
68692100aadb6eeafb398fd3,https://crackmes.one/crackme/68692100aadb6eeafb398fd3,off_by_one,toasterbirb,Unix/linux etc.,x86-64,Assembler,2.0,True,DXUPWYfU,n_a,,,,,Control-flow obfuscation,,,Return-address / stack-based,,,,high
5ab77f6033c5d40ad448c837,https://crackmes.one/crackme/5ab77f6033c5d40ad448c837,crackme_1 by r0m4n,crackmes.de,Unspecified/other,x86,Unspecified/other,6.0,False,,keygen_algorithmic,full,safe,name+serial,True,,,,,,,,high
65b235f0eef082e477ff6166,https://crackmes.one/crackme/65b235f0eef082e477ff6166,Find the serial,BAGZZlash,Windows,x86,(Visual) Basic,2.0,True,72696768742E,n_a,,,,,,,,,,,,high
5d7e154333c5d46f00e2c470,https://crackmes.one/crackme/5d7e154333c5d46f00e2c470,Baphomet,S01den,Unix/linux etc.,x86-64,C/C++,3.0,False,,keygen_algorithmic,full,safe,name+serial,True,,,,,,,,high
652c30d56e7e520ff1c3da60,https://crackmes.one/crackme/652c30d56e7e520ff1c3da60,zun1 crackme,zun1,Windows,x86-64,C/C++,1.9,False,,keygen_algorithmic,full,safe,name+serial,True,,,,,,,,high
5ab77f5e33c5d40ad448c755,https://crackmes.one/crackme/5ab77f5e33c5d40ad448c755,skilla_keygenme3 by skiller,crackmes.de,Windows,x86,Assembler,2.0,False,,keygen_algorithmic,partial,quarantined_unsupported,unknown,False,Anti-debugging,,,,,,,high
63f3e06f33c5d447bc76150f,https://crackmes.one/crackme/63f3e06f33c5d447bc76150f,CrackMe#2_By_7T7,7T7,Windows,x86,C/C++,2.0,True,AAAABBBBAAAA,n_a,,,,,,,,,,,,high
